N_Awal,P_Awal,K_Awal,Volume_Air_ml,Metode_Pemberian,N_Target,P_Target,K_Target,Dosis_Pupuk_Gram
17.5,21.8,45.6,0,0,10.7,13.7,29.9,0.0
16.5,21.5,45.3,0,0,12.4,15.5,26.6,0.0
15.4,21.0,46.5,0,0,10.4,10.2,22.8,0.0
15.8,22.1,43.9,0,0,8.6,11.2,32.4,0.0
16.4,21.4,45.6,0,0,9.2,14.2,24.5,0.0
14.9,22.8,44.2,0,0,9.1,17.7,28.0,0.0
16.2,22.7,46.3,0,0,10.3,10.1,24.0,0.0
15.3,21.5,47.6,0,0,9.8,13.4,23.6,0.0
15.6,21.3,46.9,0,0,10.5,10.5,29.0,0.0
15.7,22.3,47.5,0,0,11.5,15.9,25.5,0.0
14.8,22.8,48.0,0,0,9.3,13.6,24.7,0.0
15.4,22.4,48.3,0,0,9.9,16.0,29.1,0.0
16.8,22.1,45.6,0,0,9.9,17.1,20.1,0.0
16.4,23.5,45.2,0,0,10.1,10.0,27.3,0.0
16.3,21.5,46.8,0,0,8.8,13.0,30.7,0.0
15.7,21.6,43.8,0,0,10.1,15.9,25.9,0.0
15.8,20.6,45.4,0,0,10.4,14.5,28.0,0.0
16.4,23.9,46.3,0,0,9.5,12.4,27.5,0.0
16.0,22.1,49.7,0,0,10.4,13.9,22.2,0.0
14.8,23.1,47.1,0,0,9.7,14.6,27.9,0.0
14.6,22.6,49.3,0,0,11.2,12.2,32.2,0.0
15.5,20.4,46.1,0,0,8.5,12.9,28.3,0.0
17.5,21.2,45.5,0,0,8.4,14.9,25.2,0.0
17.3,20.4,46.3,0,0,11.2,11.5,28.7,0.0
14.7,22.5,46.4,0,0,10.4,15.6,24.3,0.0
16.2,22.3,44.9,0,0,10.4,14.7,26.0,0.0
16.7,21.0,47.2,0,0,12.8,14.9,24.4,0.0
16.4,22.8,48.8,0,0,11.7,12.4,30.9,0.0
15.2,21.9,46.5,0,0,9.6,12.5,25.3,0.0
17.5,21.7,50.1,0,0,10.4,15.7,28.0,0.0
16.5,21.8,47.1,0,0,10.9,12.3,24.8,0.0
