N_Awal,P_Awal,K_Awal,N_Target,P_Target,K_Target,Dosis_Pupuk_Gram
17.9,22.4,45.8,10.7,13.7,29.9,0.0
16.9,22.1,45.4,12.4,15.5,26.6,0.0
15.8,21.6,46.6,10.4,10.2,22.8,0.0
16.1,22.7,44.0,8.6,11.2,32.4,0.0
16.7,22.0,45.7,9.2,14.2,24.5,0.0
15.3,23.4,44.3,9.1,17.7,28.0,0.0
16.5,23.3,46.4,10.3,10.1,24.0,0.0
15.6,22.1,47.7,9.8,13.4,23.6,0.0
16.0,21.9,47.0,10.5,10.5,29.0,0.0
16.0,22.9,47.6,11.5,15.9,25.5,0.0
15.1,23.4,48.2,9.3,13.6,24.7,0.0
15.7,23.0,48.4,9.9,16.0,29.1,0.0
17.2,22.7,45.7,9.9,17.1,20.1,0.0
16.7,24.1,45.4,10.1,10.0,27.3,0.0
16.7,22.1,46.9,8.8,13.0,30.7,0.0
16.0,22.2,43.9,10.1,15.9,25.9,0.0
16.1,21.2,45.5,10.4,14.5,28.0,0.0
16.7,24.5,46.4,9.5,12.4,27.5,0.0
16.3,22.7,49.8,10.4,13.9,22.2,0.0
15.2,23.7,47.3,9.7,14.6,27.9,0.0
14.9,23.2,49.4,11.2,12.2,32.2,0.0
15.8,21.0,46.2,8.5,12.9,28.3,0.0
17.9,21.8,45.6,8.4,14.9,25.2,0.0
17.6,21.0,46.4,11.2,11.5,28.7,0.0
15.0,23.1,46.6,10.4,15.6,24.3,0.0
16.6,22.9,45.1,10.4,14.7,26.0,0.0
17.0,21.6,47.3,12.8,14.9,24.4,0.0
16.7,23.4,49.0,11.7,12.4,30.9,0.0
15.5,22.5,46.6,9.6,12.5,25.3,0.0
17.8,22.3,50.2,10.4,15.7,28.0,0.0
16.8,22.4,47.2,10.9,12.3,24.8,0.0
14.8,22.1,47.4,10.7,13.9,25.5,0.0
16.7,21.7,46.4,10.3,11.5,28.5,0.0
16.9,23.7,47.7,10.1,11.7,29.1,0.0
16.9,23.1,51.9,7.9,12.1,29.5,0.0
17.0,22.3,47.3,10.9,16.3,30.9,0.0
16.4,24.9,43.3,8.8,13.5,26.5,0.0
17.4,22.7,44.5,11.0,10.8,26.6,0.0
16.6,22.6,45.2,8.9,15.4,25.8,0.0
16.5,21.9,47.4,13.2,15.3,21.9,0.0
17.2,21.4,45.6,8.8,13.8,29.5,0.0
16.7,21.3,47.5,9.3,12.7,33.3,0.0
15.9,23.9,45.1,13.2,16.1,23.4,0.0
16.3,19.4,44.6,10.7,15.5,25.2,0.0
14.9,22.2,46.3,9.6,11.5,32.9,0.0
16.3,21.6,46.8,12.2,11.1,31.5,0.0
16.0,22.7,47.1,10.3,12.8,28.2,0.0
14.4,22.4,47.0,12.4,11.5,34.4,0.0
15.8,22.0,47.4,10.4,12.8,27.4,0.0
16.6,23.4,47.1,10.5,12.6,30.7,0.0
16.9,22.6,46.3,10.6,15.6,35.7,0.1
16.1,22.4,47.8,13.8,15.5,35.1,0.1
16.4,23.3,45.7,13.1,18.3,37.3,0.1
16.9,21.8,49.3,12.4,16.4,33.7,0.1
17.1,23.2,47.1,10.4,14.3,36.9,0.1
15.7,23.6,45.9,11.9,14.9,33.6,0.1
15.8,21.8,46.5,10.6,16.1,34.6,0.1
16.6,21.1,44.0,12.2,15.7,32.0,0.1
17.8,23.5,45.9,10.8,16.3,34.3,0.1
16.0,22.9,44.9,11.8,14.7,33.4,0.1
16.7,23.3,45.5,12.7,19.8,33.1,0.1
15.6,22.6,46.9,12.2,16.7,33.7,0.1
15.6,23.5,46.4,14.1,18.6,39.9,0.1
15.7,20.5,45.3,15.2,15.1,30.9,0.1
18.2,23.5,45.3,10.7,17.0,34.4,0.1
18.2,23.8,45.4,10.5,17.7,29.5,0.1
17.6,21.0,45.2,9.3,19.4,33.1,0.1
17.0,21.5,45.9,11.9,16.8,32.1,0.1
15.2,21.1,48.0,12.1,17.7,35.5,0.1
16.5,23.8,46.2,12.4,15.2,38.1,0.1
17.3,23.2,48.2,15.0,20.2,32.7,0.1
