N_awal,P_awal,K_awal,N_target,P_target,K_target,Kekurangan_N,Kekurangan_P,Kekurangan_K,Dosis_Pupuk_Gram
40.1,9.1,101.6,30,40,100,0.0,30.9,0.0,3.9
22.0,24.2,96.3,30,40,100,8.0,15.8,3.7,2.0
44.4,12.4,0.0,30,40,100,0.0,27.6,100.0,5.0
69.3,40.9,120.2,30,40,100,0.0,0.0,0.0,0.0
19.3,84.6,0.0,30,40,100,10.7,0.0,100.0,5.0
19.3,5.4,20.7,30,40,100,10.7,34.6,79.3,4.3
70.9,76.7,0.0,30,40,100,0.0,0.0,100.0,5.0
47.8,5.0,199.2,30,40,100,0.0,35.0,0.0,4.4
12.6,2.3,54.8,30,40,100,17.4,37.7,45.2,4.7
41.4,69.4,248.2,30,40,100,0.0,0.0,0.0,0.0
12.8,73.6,138.2,30,40,100,17.2,0.0,0.0,2.9
12.7,70.7,109.6,30,40,100,17.3,0.0,0.0,2.9
32.8,0.0,26.2,30,40,100,0.0,40.0,73.8,5.0
0.0,17.7,0.0,30,40,100,30.0,22.3,100.0,5.0
0.0,69.6,115.7,30,40,100,30.0,0.0,0.0,5.0
9.9,38.1,67.7,30,40,100,20.1,1.9,32.3,3.4
0.0,0.0,0.0,30,40,100,30.0,40.0,100.0,5.0
34.9,54.9,0.0,30,40,100,0.0,0.0,100.0,5.0
0.1,7.7,0.0,30,40,100,29.9,32.3,100.0,5.0
0.0,108.7,220.3,30,40,100,30.0,0.0,0.0,5.0
67.7,98.6,252.0,30,40,100,0.0,0.0,0.0,0.0
19.5,60.8,90.0,30,40,100,10.5,0.0,10.0,1.8
27.9,91.2,85.5,30,40,100,2.1,0.0,14.5,0.7
0.0,39.1,46.4,30,40,100,30.0,0.9,53.6,5.0
10.4,67.3,0.0,30,40,100,19.6,0.0,100.0,5.0
29.1,95.9,184.4,30,40,100,0.9,0.0,0.0,0.1
0.0,46.3,224.6,30,40,100,30.0,0.0,0.0,5.0
36.7,26.2,1.4,30,40,100,0.0,13.8,98.6,4.9
8.8,0.0,66.8,30,40,100,21.2,40.0,33.2,5.0
17.6,33.1,37.2,30,40,100,12.4,6.9,62.8,3.1
8.8,69.6,39.6,30,40,100,21.2,0.0,60.4,3.5
78.7,74.5,169.1,30,40,100,0.0,0.0,0.0,0.0
25.6,56.7,0.0,30,40,100,4.4,0.0,100.0,5.0
0.0,14.7,111.1,30,40,100,30.0,25.3,0.0,5.0
49.4,0.0,132.2,30,40,100,0.0,40.0,0.0,5.0
0.0,16.5,62.0,30,40,100,30.0,23.5,38.0,5.0
31.9,24.2,145.5,30,40,100,0.0,15.8,0.0,2.0
0.0,23.9,85.4,30,40,100,30.0,16.1,14.6,5.0
0.0,61.3,171.7,30,40,100,30.0,0.0,0.0,5.0
31.6,116.4,0.0,30,40,100,0.0,0.0,100.0,5.0
47.0,41.4,45.4,30,40,100,0.0,0.0,54.6,2.7
30.8,27.7,67.7,30,40,100,0.0,12.3,32.3,1.6
22.7,26.0,0.0,30,40,100,7.3,14.0,100.0,5.0
17.4,41.5,0.0,30,40,100,12.6,0.0,100.0,5.0
0.0,3.1,7.9,30,40,100,30.0,36.9,92.1,5.0
5.5,41.3,150.0,30,40,100,24.5,0.0,0.0,4.1
12.8,54.6,16.5,30,40,100,17.2,0.0,83.5,4.2
56.1,44.9,7.5,30,40,100,0.0,0.0,92.5,4.6
35.7,54.9,139.4,30,40,100,0.0,0.0,0.0,0.0
0.0,53.9,0.0,30,40,100,30.0,0.0,100.0,5.0
35.2,0.0,0.0,30,40,100,0.0,40.0,100.0,5.0
15.0,62.1,44.3,30,40,100,15.0,0.0,55.7,2.8
6.7,9.4,0.0,30,40,100,23.3,30.6,100.0,5.0
43.4,0.0,0.0,30,40,100,0.0,40.0,100.0,5.0
55.3,0.0,119.7,30,40,100,0.0,40.0,0.0,5.0
52.5,53.9,144.1,30,40,100,0.0,0.0,0.0,0.0
2.1,27.5,137.1,30,40,100,27.9,12.5,0.0,4.6
17.1,0.0,162.9,30,40,100,12.9,40.0,0.0,5.0
35.4,55.7,173.6,30,40,100,0.0,0.0,0.0,0.0
53.7,0.0,0.0,30,40,100,0.0,40.0,100.0,5.0
12.3,42.1,109.8,30,40,100,17.7,0.0,0.0,2.9
20.7,46.0,30.8,30,40,100,9.3,0.0,69.2,3.5
0.0,72.1,13.2,30,40,100,30.0,0.0,86.8,5.0
0.0,108.2,118.7,30,40,100,30.0,0.0,0.0,5.0
49.1,0.0,0.0,30,40,100,0.0,40.0,100.0,5.0
64.6,34.3,0.0,30,40,100,0.0,5.7,100.0,5.0
23.9,25.3,124.6,30,40,100,6.1,14.7,0.0,1.8
54.5,53.9,112.8,30,40,100,0.0,0.0,0.0,0.0
36.3,45.1,84.5,30,40,100,0.0,0.0,15.5,0.8
7.6,22.3,2.5,30,40,100,22.4,17.7,97.5,4.9
36.2,18.7,133.5,30,40,100,0.0,21.3,0.0,2.7
69.8,0.0,128.4,30,40,100,0.0,40.0,0.0,5.0
24.9,76.2,80.4,30,40,100,5.1,0.0,19.6,1.0
70.5,54.9,0.0,30,40,100,0.0,0.0,100.0,5.0
0.0,73.4,39.2,30,40,100,30.0,0.0,60.8,5.0
49.4,24.0,141.1,30,40,100,0.0,16.0,0.0,2.0
28.4,10.0,180.5,30,40,100,1.6,30.0,0.0,3.8
17.4,0.0,47.2,30,40,100,12.6,40.0,52.8,5.0
28.6,50.9,53.4,30,40,100,1.4,0.0,46.6,2.3
0.0,0.0,60.5,30,40,100,30.0,40.0,39.5,5.0
19.7,110.8,95.7,30,40,100,10.3,0.0,4.3,1.7
36.1,0.0,26.6,30,40,100,0.0,40.0,73.4,5.0
68.0,47.5,0.0,30,40,100,0.0,0.0,100.0,5.0
11.2,99.5,169.7,30,40,100,18.8,0.0,0.0,3.1
2.9,60.6,218.2,30,40,100,27.1,0.0,0.0,4.5
11.7,43.5,24.1,30,40,100,18.3,0.0,75.9,3.8
52.0,0.0,0.0,30,40,100,0.0,40.0,100.0,5.0
35.3,0.0,62.4,30,40,100,0.0,40.0,37.6,5.0
10.9,67.4,58.4,30,40,100,19.1,0.0,41.6,3.2
40.6,97.1,153.8,30,40,100,0.0,0.0,0.0,0.0
28.7,18.8,77.9,30,40,100,1.3,21.2,22.1,2.7
53.5,0.0,9.6,30,40,100,0.0,40.0,90.4,5.0
6.0,0.0,0.0,30,40,100,24.0,40.0,100.0,5.0
16.6,0.0,143.3,30,40,100,13.4,40.0,0.0,5.0
14.8,31.9,121.8,30,40,100,15.2,8.1,0.0,2.5
0.0,100.8,159.0,30,40,100,30.0,0.0,0.0,5.0
34.4,63.5,0.0,30,40,100,0.0,0.0,100.0,5.0
33.4,48.7,221.8,30,40,100,0.0,0.0,0.0,0.0
26.1,20.3,0.0,30,40,100,3.9,19.7,100.0,5.0
19.3,13.0,130.7,30,40,100,10.7,27.0,0.0,3.4
0.0,93.0,0.0,30,40,100,30.0,0.0,100.0,5.0
14.0,44.5,9.8,30,40,100,16.0,0.0,90.2,4.5
16.2,0.0,199.4,30,40,100,13.8,40.0,0.0,5.0
3.1,9.3,140.5,30,40,100,26.9,30.7,0.0,4.5
21.4,1.9,29.4,30,40,100,8.6,38.1,70.6,4.8
37.5,14.5,31.7,30,40,100,0.0,25.5,68.3,3.4
79.7,59.1,81.6,30,40,100,0.0,0.0,18.4,0.9
30.9,32.1,115.0,30,40,100,0.0,7.9,0.0,1.0
33.3,33.4,174.4,30,40,100,0.0,6.6,0.0,0.8
23.8,89.3,36.7,30,40,100,6.2,0.0,63.3,3.2
0.0,8.4,0.0,30,40,100,30.0,31.6,100.0,5.0
25.2,111.5,86.2,30,40,100,4.8,0.0,13.8,0.8
27.7,9.4,36.6,30,40,100,2.3,30.6,63.4,3.8
96.1,40.0,0.0,30,40,100,0.0,0.0,100.0,5.0
20.5,25.1,97.5,30,40,100,9.5,14.9,2.5,1.9
34.5,41.4,56.3,30,40,100,0.0,0.0,43.7,2.2
25.0,54.3,98.2,30,40,100,5.0,0.0,1.8,0.8
0.0,53.9,1.4,30,40,100,30.0,0.0,98.6,5.0
58.5,6.1,112.7,30,40,100,0.0,33.9,0.0,4.2
47.4,0.0,0.0,30,40,100,0.0,40.0,100.0,5.0
48.5,137.2,6.7,30,40,100,0.0,0.0,93.3,4.7
0.1,17.0,53.9,30,40,100,29.9,23.0,46.1,5.0
65.9,64.6,214.0,30,40,100,0.0,0.0,0.0,0.0
0.0,0.0,136.8,30,40,100,30.0,40.0,0.0,5.0
42.7,25.2,160.4,30,40,100,0.0,14.8,0.0,1.8
